"Username","Tweet","Likes","Timestamp"
"The Telegraph
@Telegraph
·
3 Oct 2016",Donald Trump mocks Hillary Clinton over her pneumonia outbreak,,2016-10-02T20:07:34.000Z
,,,2021-07-28T18:57:57.000Z
,,,2021-11-16T10:04:55.000Z
,,,2022-09-08T17:31:21.000Z
,,,2019-03-08T20:03:35.000Z
"The Telegraph
@Telegraph
·
4h"," Planes leaving and flying to the UK have been grounded following an issue with air traffic control which has resulted in the closure of air space

Follow the latest on our live blog 
https://telegraph.co.uk/news/2023/08/28/air-traffic-control-grounds-uk-flights-live-latest-updates/…",19,2023-08-28T12:09:14.000Z
"The Telegraph
@Telegraph
·
8m"," It’s not just sleep that’s affected by straddling time zones, travel can impact digestion too",2,2023-08-28T16:31:55.000Z
"The Telegraph
@Telegraph
·
23m", Liberation comes after major breakthrough in the most difficult line of Russian defences in the south,8,2023-08-28T16:16:53.000Z
"The Telegraph
@Telegraph
·
2h", Adjudicator agrees with motorist that ULez signs did not comply with laws stating that drivers must be warned if they will be charged,39,2023-08-28T14:31:08.000Z
"The Telegraph
@Telegraph
·
2h"," Today on Ukraine: The Latest
@djknowles22
 interviews Ukrainian historian 
@splokhy
 about Ukrainian and Russian history, lessons from history and the parallels with the Second World War

Now free to listen to here ",10,2023-08-28T14:23:42.000Z
"The Telegraph
@Telegraph
·
2h", Telegraph Money reveals the ‘ridiculous’ conditions that come with gifting your assets,3,2023-08-28T14:16:13.000Z
"Telegraph US
@TelegraphUS
·
3h", A breakdown of all the Republicans who have already entered the race for the White House,7,2023-08-28T13:01:52.000Z
"Telegraph US
@TelegraphUS
·
2h"," ""Tragically, the killing of Prigozhin will be admired and only boost the Russian dictator’s standing in much of the world"" - Writes 
@DanielJHannan
Read the full column ",7,2023-08-28T14:02:42.000Z
"Telegraph US
@TelegraphUS
·
2h"," Robert Shonov is charged with ‘confidential cooperation’ with a foreign state, a crime less grave than spying",5,2023-08-28T14:35:11.000Z
"The Telegraph
@Telegraph
·
2h", Adjudicator agrees with motorist that ULez signs did not comply with laws stating that drivers must be warned if they will be charged,39,2023-08-28T14:31:08.000Z
"The Telegraph
@Telegraph
·
2h"," Today on Ukraine: The Latest
@djknowles22
 interviews Ukrainian historian 
@splokhy
 about Ukrainian and Russian history, lessons from history and the parallels with the Second World War

Now free to listen to here ",10,2023-08-28T14:23:42.000Z
"The Telegraph
@Telegraph
·
2h", Telegraph Money reveals the ‘ridiculous’ conditions that come with gifting your assets,3,2023-08-28T14:16:13.000Z
"Telegraph US
@TelegraphUS
·
2h"," ""Tragically, the killing of Prigozhin will be admired and only boost the Russian dictator’s standing in much of the world"" - Writes 
@DanielJHannan
Read the full column ",7,2023-08-28T14:02:42.000Z
"Telegraph US
@TelegraphUS
·
2h"," Robert Shonov is charged with ‘confidential cooperation’ with a foreign state, a crime less grave than spying",5,2023-08-28T14:35:11.000Z
"The Telegraph
@Telegraph
·
2h", Adjudicator agrees with motorist that ULez signs did not comply with laws stating that drivers must be warned if they will be charged,39,2023-08-28T14:31:08.000Z
